[1:37.360,1:37.960,0]  一个会议。
[8:35.520,8:43.370,0]  钱呢就填500，AI大赛的给的额度是500块钱，就填那个，剩下的也没有什么开支。
[8:44.030,8:44.430,1]  啊。
[8:46.940,8:47.340,1]  好。
[8:47.890,8:50.490,0]  那请问徐亚楠，你还有什么问题吗？
[8:52.000,8:54.100,2]  暂时没有其他问题了。
[8:54.720,8:58.370,0]  好，暂时没有其他问题了，那么给你定一个TT吧。
[8:58.470,9:2.470,0]  这个TB要在什么时间之前完成呢？
[9:2.520,9:10.770,0]  我们现在已知大赛的截止日期是1月9号，提交窗口是1月9，1月6号到1月9号。
[9:10.870,9:12.845,0]  那么你的TT要定在什么时候？
[9:12.845,9:15.320,0]  就是写TB这个动作哦。
[9:16.410,9:18.460,2]  Tline.
[9:25.280,9:27.230,0]  你这么快就能完成吗？
[9:27.860,9:29.260,2]  你那你不用管啊。
[9:29.660,9:31.660,0]  好的好的，那我就不管了。
[9:31.910,9:32.860,2]  嗯，好的。
[9:33.820,9:34.220,1]  呃。
[9:35.020,9:37.420,0]  那么其他人还有什么问题吗，没有。
[9:40.020,9:42.220,0]  嗯，台前号也没有那会。
[9:42.840,9:45.390,0]  啊，散会吧，这个会议就到这里。
[9:45.640,9:54.240,0]  稍后我会把这段视频上传到我们的会议纪要生成机器人中，请他来帮我们生成一份会议纪要。
[9:54.490,9:55.090,2]  好的。
[9:55.290,9:56.140,0]  谢谢各位。
[9:56.290,9:57.865,2]  谢谢各位，再见，谢谢各位。
[9:57.865,9:58.490,0]  好，再见。

